"Element Path","Count of records"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.teams.message.teamGroups.conversation-collapse.conversation-list-item.no-search-highlight-text","127,858"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.favorites.message.favoriteGroups.conversation-collapse.conversation-list-item.no-search-highlight-text","122,481"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.conversation-list-item.no-search-highlight-text","119,231"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.conversation-list-item","112,311"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.favorites.message.favoriteGroups.conversation-collapse.conversation-list-item","96,189"
"root.sms__tab.SMSTab__leftPanel.SMSTab__leftPanel.sms-all.sms-all-list.virtualized-list.sms-item.phone__item--primaryInfo","94,104"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.direct_messages.message.directGroups.conversation-collapse.conversation-list-item","83,122"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.direct_messages.message.directGroups.conversation-collapse.conversation-list-item.no-search-highlight-text","76,892"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.teams.message.teamGroups.conversation-collapse.conversation-list-item","74,479"
"root.telephony-dialpad-btn","73,923"
"root.sms__tab.SMSTab__leftPanel.SMSTab__leftPanel.sms-all.sms-all-list.virtualized-list.sms-item.phone__item--primaryInfo.phone__contact--primaryInfo.no-search-highlight-text","65,060"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.chat-stream-wrapper.chat-stream.virtualized-list.styled-conversation-card.cardHeaderRightSection.action-bar.message-action-edit","64,236"
"root.phone__tab.phone__leftPanel.phone__leftPanel.TabListBar__item--recent","63,640"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.all.all-list.virtualized-list.conversation-list-item","57,389"
"root.topBarAvatar","57,288"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.resizable.message-input.editor-container-wrapper","55,136"
"root.phone__tab.phone__leftPanel.phone__leftPanel.TabListBar__item--voicemail","49,735"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.chat-stream-wrapper.chat-stream.virtualized-list.styled-conversation-card.imageCard.image","49,554"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.resizable.message-input.message-toolbar.conversation-toolbar-send-button","47,483"
"root.leftPanel.phone","44,332"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.all.all-list.virtualized-list.conversation-list-item.no-search-highlight-text","43,466"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.message-conversationList-filter.UNREAD-tab-menu-item","40,518"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.message-conversationList-filter.ALL-tab-menu-item","38,463"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.chat-stream-wrapper.chat-stream.virtualized-list.styled-conversation-card.cardHeaderRightSection.action-bar.message-action-quote","35,445"
"root.leftPanel.messages","35,031"
"root.video__tab.video__leftPanel.video__leftPanel.calendar-wrapper.virtualized-list.calendar-event-item.calendar-event-item-join-button","33,080"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.chat-stream-wrapper.chat-stream.virtualized-list.styled-conversation-card.avatar","30,868"
"root.sms__tab.SMSTab__tab.SMSTab__tab.SMSDetail.sms-input.editor-container-wrapper.post-button","29,076"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.chat-stream-wrapper.chat-stream.virtualized-list.styled-conversation-card","27,726"
"root.phone__tab.phone__leftPanel.phone__leftPanel.recent-all.recent-all-list.virtualized-list.call-history-item.phone__item--primaryInfo.callLogItem__secondaryInfo","23,411"
"root.phone__tab.phone__rightPanel.phone__rightPanel.phone__genericDialerPanel","23,216"
"root.leftPanel.text","22,091"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.direct_messages.message.directGroups.message.directGroups-header","20,289"
"root.PresenceAndShareStatus-presence-button-popover.PresenceMenu.presence-submenu-dnd","19,997"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.resizable.message-input.editor-container-wrapper.conversation-toolbar-send-button","19,507"
"root.phone__tab.phone__leftPanel.phone__leftPanel.TabListBar__item--hud","19,450"
"root.groupSearch.virtualized-list.groupSearchItem","19,194"
"root.phone__tab.phone__leftPanel.phone__leftPanel.recent-all.recent-all-list.virtualized-list.call-history-item.phone__item--primaryInfo.phone__contact--primaryInfo.no-search-highlight-text","18,172"
"root.sms__tab.SMSTab__leftPanel.SMSTab__leftPanel.sms-all.sms-all-list.virtualized-list.sms-item","17,707"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.TabListBar__item--direct_messages","16,369"
"root.leftPanel.meet","16,087"
"root.phone__tab.phone__leftPanel.phone__leftPanel.voicemail-personal-all.voicemail-personal-all-list.virtualized-list.voicemail-item.phone__item--primaryInfo","15,283"
"root.telephony-minimized-view.telephony-end-btn","14,989"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.TabListBar__item--teams","14,940"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.resizable.message-input.message-toolbar.conversation-chatbar-giphy-button","14,391"
"root.video-incoming-container.video-call-answer-btn","14,277"
"root.Viewer.ViewerHeader.viewerActions","13,739"
"root.phone__tab.phone__rightPanel.phone__rightPanel.phone__genericDialerPanel.telephony-dialer-header","13,632"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_LEFT_RAIL_Panel.leftRail.teams.message.teamGroups.message.teamGroups-header","13,399"
"root.VersatileResponsiveLayout-MessageRailCompactLayout.MESSAGE_CONTENT_PANEL_Panel.messagePanel.chat-stream-wrapper.chat-stream.virtualized-list.styled-conversation-card.cardHeaderRightSection.action-bar.message-action-more","13,193"
